"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0","LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","HARM_EV,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
15,4,2014,31.21755556,-85.36090833,1,69,12,1,0
15,4,2014,32.41355556,-85.62145278,1,87,30,1,0
26,4,2014,34.33481389,-87.01563611,1,103,59,1,0
26,4,2014,31.01951944,-87.544225,1,53,1,1,1
25,4,2014,32.44863056,-86.92098611,1,47,10,1,1
27,4,2014,30.32211389,-87.767575,1,3,42,1,1
27,4,2014,31.71504167,-87.75666111,1,25,42,1,0
28,4,2014,30.957,-88.12420556,1,97,12,1,0
23,4,2014,34.647475,-87.65348889,1,33,12,1,0
3,5,2014,33.16801944,-87.55776389,1,125,38,1,1
3,5,2014,33.58835833,-86.46579167,1,115,42,1,0
5,5,2014,33.426525,-86.34425,1,115,1,1,1
6,5,2014,34.17491111,-86.66071944,1,43,1,1,1
4,5,2014,31.25325,-85.40644167,1,69,8,1,0
1,5,2014,32.92514722,-87.18554167,1,7,12,1,0
1,5,2014,32.0058,-87.00526111,1,131,43,1,0
3,5,2014,33.51766667,-87.05048889,1,73,12,1,0
12,5,2014,30.49003333,-87.85259444,1,3,59,1,0
9,5,2014,31.38571389,-85.66025278,1,45,12,1,1
10,5,2014,32.52531944,-86.37744167,1,51,8,1,0
12,5,2014,34.66026944,-86.47382778,1,89,12,1,0
12,5,2014,33.34146389,-86.80459722,1,117,12,1,0
25,4,2014,33.57315,-86.90318889,1,73,8,1,1
1,5,2014,33.80586667,-86.73639167,1,73,38,1,0
15,5,2014,33.80375278,-86.864875,1,73,32,1,0
29,4,2014,33.33742222,-86.42689167,1,117,12,1,1
2,5,2014,33.36612778,-86.83939167,1,73,8,1,0
3,5,2014,30.75185556,-88.07883333,1,97,9,1,1
3,5,2014,33.61623611,-85.80356389,1,15,10,2,0
3,5,2014,34.72213611,-87.81221111,1,33,12,2,0
4,5,2014,31.06700556,-85.40485278,1,69,12,2,0
7,5,2014,34.82823056,-85.63873333,1,71,12,1,0
7,5,2014,32.54850833,-86.327625,1,51,1,1,1
7,5,2014,31.15055278,-87.39410278,1,53,12,1,0
8,5,2014,31.13706111,-85.67167778,1,61,12,1,0
12,5,2014,33.81837222,-87.16231111,1,127,34,1,1
12,5,2014,33.78335,-85.95018056,1,15,12,1,0
13,5,2014,32.58794722,-85.56636944,1,81,12,1,0
13,5,2014,33.2767,-87.20250278,1,125,35,1,1
16,5,2014,33.42883333,-85.37203611,1,111,12,1,0
19,5,2014,34.67851667,-86.57635278,1,89,25,1,0
2,5,2014,34.02811667,-85.96887778,1,55,8,1,0
7,5,2014,34.71581389,-86.37705833,1,89,12,1,1
9,5,2014,30.45541389,-88.11561667,1,97,12,1,0
16,5,2014,33.03443611,-87.3467,1,125,42,1,0
17,5,2014,32.32630833,-86.32653333,1,101,12,1,0
