"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0",,"LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
18,4,2013,,33.98453333,-85.9627,1,55,1,0
1,4,2013,,32.57476667,-85.95537778,1,51,1,0
5,4,2013,,32.97231389,-85.934775,1,123,2,1
5,4,2013,,30.66431389,-88.08771667,1,97,1,0
8,4,2013,,34.00878056,-85.98561667,1,55,1,0
11,4,2013,,31.42024444,-87.03880556,1,35,1,0
12,2,2013,,32.63922778,-87.29569167,1,105,1,0
21,2,2013,,33.58694444,-86.6927,1,73,1,0
16,3,2013,,34.47775278,-86.21788333,1,95,1,1
6,4,2013,,34.25423333,-86.19460556,1,95,2,0
18,4,2013,,33.55285278,-86.83069167,1,73,2,0
3,4,2013,,31.74143333,-85.901775,1,109,2,0
30,4,2013,,34.58818333,-87.42297778,1,79,1,0
6,4,2013,,32.09250556,-85.77029444,1,11,1,1
8,4,2013,,34.63086944,-85.89591389,1,71,1,0
13,4,2013,,33.54022778,-86.77568889,1,73,1,0
14,4,2013,,32.73898889,-86.49149444,1,21,1,0
2,4,2013,,33.54881667,-86.74765556,1,73,1,0
14,4,2013,,30.65925278,-87.94006667,1,3,1,0
14,4,2013,,34.55210556,-87.69346389,1,59,1,0
14,4,2013,,34.95046389,-86.89311389,1,83,1,0
15,4,2013,,32.3857,-86.21036111,1,101,1,0
17,4,2013,,33.1423,-86.68508889,1,117,1,0
18,4,2013,,34.28965556,-85.92465,1,49,1,0
18,4,2013,,30.55712222,-88.232975,1,97,1,1
16,4,2013,,33.57869167,-86.46373611,1,115,1,0
19,4,2013,,32.36384722,-85.84682222,1,87,1,1
19,4,2013,,33.17198611,-87.44659722,1,125,1,0
19,4,2013,,31.14072222,-87.12474444,1,53,1,0
20,4,2013,,34.78562222,-87.52295278,1,33,1,0
20,4,2013,,30.43599444,-87.704325,1,3,1,1
21,4,2013,,32.01233611,-88.26784722,1,23,1,1
23,4,2013,,33.40492222,-86.76723333,1,73,1,0
23,4,2013,,34.46126111,-86.97245,1,103,1,1
23,4,2013,,31.22601389,-85.43236111,1,69,1,0
24,4,2013,,31.17515,-85.21163333,1,69,1,0
24,4,2013,,34.34294444,-85.57193056,1,19,1,0
25,4,2013,,31.434475,-85.63308889,1,45,1,2
25,4,2013,,34.86603889,-87.31297778,1,77,1,0
27,4,2013,,30.68922222,-88.05274167,1,97,1,1
28,4,2013,,30.72342778,-88.06772222,1,97,1,0
28,4,2013,,33.58569722,-86.67973889,1,73,1,0
29,4,2013,,34.579075,-86.97378333,1,103,1,0
29,4,2013,,30.62595,-87.65134167,1,3,1,0
29,4,2013,,34.87889444,-87.71405278,1,77,1,0
30,4,2013,,34.83293056,-87.01805,1,83,1,0
6,5,2013,,33.73264722,-87.81028889,1,57,1,0
9,5,2013,,34.73469722,-87.66776389,1,33,1,0
1,5,2013,,33.1593,-86.31150278,1,121,2,1
3,5,2013,,32.38181389,-86.22494444,1,101,1,0
4,5,2013,,34.63058333,-87.48449167,1,79,1,0
5,5,2013,,33.8565,-85.90783333,1,15,1,1
6,5,2013,,34.88979722,-87.89517222,1,77,1,0
7,5,2013,,31.15594444,-85.73276111,1,61,1,0
8,5,2013,,32.33231944,-86.22054444,1,101,1,0
